Motor Carrier ,Company,City,County,State,clean_city
1110536.0,A. J. TRANS,Manteca,San Joaquin,CA,manteca
,A. NAVARRO TRANSPORT,MADERA,Madera,CA,madera
,A.G. TRUCKING,Salinas,Monterey,CA,salinas
2052739.0,A.Q. MORENO TRUCKING,Los Banos,Merced,CA,los banos
2584085.0,A.S.G TRUCKING INC.,Atwater,Merced,CA,atwater
,A1 SERVICES,Bakersfield,Kern,CA,bakersfield
2272021.0,A2A TRANSPORTATION INC,Bakersfield,Kern,CA,bakersfield
2384232.0,A4 TRANSPORTATION INC,LATHROP,San Joaquin,CA,lathrop
2299252.0,AA PLUS TRUCKING,N HOLLYWOOD,Los Angeles,CA,los angeles
,AAA EXPRESS,Temecula,Riverside,CA,temecula
,"AAA MOBILE BASECAMPS, LP",LINDSAY,,CA,lindsay
1626716.0,AAA TRANSPORT,Lincoln,Placer,CA,lincoln
981313.0,AAJ EXPRESS INC.,EASTVALE,,CA,eastvale
,AARAV EXPRESS INC,BAKERSFIELD,,CA,bakersfield
,AARCHI TRUCKING INC,Antelope,Sacramento,CA,antelope
1026743.0,AARONS TRANSPORT,Bakersfield,Kern,CA,bakersfield
2906855.0,AARSH TRANS,SACRAMENTO,,CA,sacramento
3169226.0,AB CARRIERS INC,MANTECA,,CA,manteca
2372221.0,ABS,FRESNO,Fresno,CA,fresno
953332.0,ABS TRANSPORT INC,SACRAMENTO,,CA,sacramento
572376.0,"ABSOLUTE TRANSPORTATION, INC",SYLMAR,,CA,los angeles
2291977.0,ABT INC,ATWATER,,CA,atwater
2962992.0,ABT LOGISTICS,Fresno,Fresno,CA,fresno
2275703.0,AC CAMPBELL'S TRANSPORT,COLTON,Riverside,CA,colton
1782204.0,AC TRUCKING,ANAHEIM,Orange,CA,anaheim
3362617.0,ACADEMY TRANS INC,YUBA CITY,,CA,yuba city
,ACADIAN FISH COMPANY,VERNON,,CA,vernon
1136846.0,ACATLAN TRANSPORT,Salinas,Monterey,CA,salinas
,ACE2 TRUCKING INC,BAKERSFIELD,,CA,bakersfield
2388256.0,ACG TRANSPORTATION,Live Oak,Sutter,CA,live oak
2637358.0,"ACM EXPRESS, LLC",Reseda,Los Angeles,CA,los angeles
580648.0,ACOSTA TRUCKING LLC,MERCED,,CA,merced
3015261.0,ACTIVE LANE INC,FONTANA,,CA,fontana
2642941.0,"ACUMEN FINE ART LOGISTICS, LLC",South Gate,Los Angeles,CA,south gate
2344578.0,ACV LOGISTICS LLC,San Diego,San Diego,CA,san diego
,ADAMOVYCH SERGIY,Fair Oaks,Sacramento,CA,fair oaks
2319129.0,ADAN MOREIRA,Los Angeles,Los Angeles,CA,los angeles
3372971.0,ADAN'S TRUCKING,LIVINGSTON,,CA,livingston
1849865.0,ADL TRANSPORT,Fontana,San Bernardino,CA,fontana
489611.0,ADL TRANSPORT LLC,Los Angeles,Los Angeles,CA,los angeles
2259356.0,ADM TRANSPORT,Stockton,San Joaquin,CA,stockton
,ADMIRE TRANSPORT,Bakersfield,Kern,CA,bakersfield
,ADVANCE BEVERAGE COMPANY,Bakersfield,Kern,CA,bakersfield
291864.0,"ADVANCED TRANSPORTATION SERVICES, INC",Visalia,Tulare,CA,visalia
3288183.0,ADVENTUROUS SPIRIT TRANSPORT INC,SANTA PAULA,,CA,santa paula
2375375.0,AE TRANSPORT,Salinas,Monterey,CA,salinas
,AFC TRADING & WHOLESALE INC,LOS ANGELES,,CA,los angeles
2968770.0,AFFA TRANSPORT LLC,Hesperia,San Bernardino,CA,hesperia
1099522.0,AG TRANSPORTATION,BAKERSFIELD,,CA,bakersfield
2207479.0,AGL TRUCKING,Victorville,San Bernardino,CA,victorville
2423168.0,AGOSTINI TRANSPORT LLC,VISALIA,Tulare,CA,visalia
,AGS WHOLESALERS INC,COMPTON,Los Angeles,CA,compton
1465921.0,AGUILAR TRUCKING,Soledad,Monterey,CA,soledad
3262764.0,AGUSTIN MACIAS DBA  MACIAS TRUCKING,IMPERIAL,,CA,imperial
2858361.0,AHD UNITED INC,BAKERSFIELD,,CA,bakersfield
173947.0,AHP TRUCKING,Fresno,Fresno,CA,fresno
2285540.0,AHR TRANS INC,STOCKTON,San Joaquin,CA,stockton
,AI FOODS CORPORATION,Los Angeles,Los Angeles,CA,los angeles
1108044.0,AIM LOGISTICS,FRESNO,,CA,fresno
2801332.0,AIM TRANSPORTATION,Clovis,Fresno,CA,clovis
,AIR FREIGHT CARRIER,W SACRAMENTO,Yolo,CA,west sacramento
1011293.0,AIRPORT EXPRESS,Clovis,Fresno,CA,clovis
2390811.0,AIRPORT XPRESS,Clovis,Fresno,CA,clovis
3153210.0,AJ BROTHER FREIGHTWAY,SANGER,,CA,sanger
2559550.0,AJ CONTRACTOR L.S. INC.,Bakersfield,Kern,CA,bakersfield
2482146.0,AJ EXPRESS INC,FRESNO,Fresno,CA,fresno
3365032.0,AJ PRIME INC,ELK GROVE,,CA,elk grove
2866551.0,AJ3 COMPANY,Fresno,Fresno,CA,fresno
3034213.0,AJIT S INC,Buena Park,Orange,CA,buena park
2516364.0,AJM EXPRESS INC.,MANTECA,San Joaquin,CA,manteca
,AK CARRIERS INC,HANFORD,,CA,hanford
2349840.0,AK NOOR EXPRESS,Fresno,Fresno,CA,fresno
1866396.0,AK TRUCKS INC,FRESNO,,CA,fresno
3579443.0,AKAAL SAHAI TRUCKING INC,NEWARK,,CA,newark
2176579.0,AKAL LOGISTICS INC,YUBA CITY,,CA,yuba city
3599026.0,AKAL TRANSPORTATION INC,TRACY,,CA,tracy
,AKB TRANSPORT INC.,Lathrop,San Joaquin,CA,lathrop
,AKC LOGISTICS,FRESNO,,CA,fresno
2339657.0,AKC TRANSPORT,Santa Maria,Santa Barbara,CA,santa maria
2608046.0,AKKA EXPRESS INC,Sacramento,Sacramento,CA,sacramento
3381961.0,AKS CARRIER INC,BAKERSFIELD,,CA,bakersfield
2998804.0,AKS EXPRESS,MADERA,,CA,madera
1437829.0,AKS TRANSPORT,BAKERSFIELD,Kern,CA,bakersfield
19029.0,AKV TRUCKING INC,SACRAMENTO,Sutter,CA,sacramento
1295947.0,AL GUZMAN TRANSPORT,Watsonville,Santa Cruz,CA,watsonville
2819293.0,AL TRANS LOGISTICS INC,Palo Alto,Santa Clara,CA,palo alto
2153442.0,AL'S USA EXPRESS CORP,MADERA,Madera,CA,madera
,ALAN OCHOA,MORENO VALLEY,Riverside,CA,moreno valley
1824076.0,ALANIZ TRUCKING,OXNARD,Ventura,CA,oxnard
3022962.0,ALARCON TRUCKING,Murrieta,Riverside,CA,murrieta
,ALAS TRUCKING LLC,LOS ANGELES,,CA,los angeles
2833654.0,ALBACH TRANSPORTATION SERVICES,Vista,San Diego,CA,vista
848541.0,ALCANTAR BROTHERS TRUCKING,Porterville,Tulare,CA,porterville
2210324.0,ALCO HARVESTING,SANTA MARIA,,CA,santa maria
2255326.0,ALDAIR TRUCKING,LOS ANGELES,Los Angeles,CA,los angeles
,ALDAY PRODUEC INC,Los Angeles,Los Angeles,CA,los angeles
2025626.0,ALEGRIA TRUCKING,Quail Valley,Riverside,CA,menifee
2009091.0,ALEKSANDR BELDYMENKO,Citrus Heights,Sacramento,CA,citrus heights
,ALEKSANDR DEMCHIK,Rancho Cordova,Sacramento,CA,rancho cordova
,ALEKSANDR PITSUL,Antelope,Sacramento,CA,antelope
,ALEX BUCHNOFF & SONS,Kerman,Fresno,CA,kerman
,ALEXANDR POYRAS,SACRAMENTO,,CA,sacramento
15182.0,ALEXANDRE DAIRY,Crescent City,Del Norte,CA,crescent city
1445768.0,ALEXIS TRUCKING,Bakersfield,Kern,CA,bakersfield
2511330.0,ALFARO TRANSPORT,INDIO,Riverside,CA,indio
,ALFONSO NARANJO,Colton,Riverside,CA,colton
242800.0,ALFORD DISTRIBUTING COMPANY,IMPERIAL,Imperial,CA,imperial
2275505.0,ALISA TRUCKING INC,SACRAMENTO,,CA,sacramento
1275158.0,ALL AMERICAN TANK LINE INC,Tujunga,Los Angeles,CA,los angeles
3710999.0,ALL AMERICAN TRUCK TRANSPORT LLC,LIVINGSTON,,CA,livingston
2923281.0,ALL BROTHERS INC,Temple City,Los Angeles,CA,temple city
,ALL FRESH PRODUCTS,San Diego,San Diego,CA,san diego
1861829.0,ALL RIGS INC,Manteca,San Joaquin,CA,manteca
,ALL WAYS TRUCKING,Fresno,Fresno,CA,fresno
294637.0,ALLIANCE PRODUCE DISTRIBUTORS INC.,Murrieta,Riverside,CA,murrieta
,"ALLIED SALES & DISTRIBUTION, INC.",Vernon,Los Angeles,CA,vernon
3078157.0,ALLIGATOR EXPRESS INC,ANTELOPE,,CA,antelope
3226218.0,ALONSO TRUCKING,SANTA MARIA,,CA,santa maria
3101836.0,ALPHA LOGISTICS SERVICES INC,CLOVIS,,CA,clovis
3065998.0,ALPHA TRUCKING,SACRAMENTO,,CA,sacramento
3289566.0,ALPHA TRUCKING FLEET LLC,HERCULES,,CA,hercules
3091452.0,"ALPHAWEST TRANSPORT, INC",SACRAMENTO,,CA,sacramento
1082897.0,ALPO TRUCKING,CARMICHAEL,,CA,carmichael
2848758.0,ALTO XPRESS INC.,POMONA,Los Angeles,CA,pomona
2819100.0,ALVAREZ EXPRESS LLC,Baldwin Park,Los Angeles,CA,baldwin park
