NAME,households,median_income,mean_income
"Jones Valley CDP, California",549,83375,107260
"Joshua Tree CDP, California",2904,47944,66854
"Jovista CDP, California",26,-,83115
"Julian CDP, California",731,74121,75074
"Junction City CDP, California",380,55594,61097
"June Lake CDP, California",114,101250,147753
"Jurupa Valley city, California",25039,83430,101195
"Keddie CDP, California",33,-,76936
"Keeler CDP, California",31,-,40897
"Keene CDP, California",129,95433,125942
"Kelly Ridge CDP, California",1366,52177,72183
"Kelseyville CDP, California",1372,42381,49530
"Kennedy CDP, California",733,42083,57815
"Kennedy Meadows CDP, California",37,-,-
"Kensington CDP, California",2096,167500,237462
"Kentfield CDP, California",2761,209750,324883
"Kenwood CDP, California",465,107533,109519
"Kep'el CDP, California",16,-,17938
"Kerman city, California",4379,50130,69150
"Kernville CDP, California",331,39604,44046
"Keswick CDP, California",65,60673,48602
"Kettleman City CDP, California",324,42206,57476
"Keyes CDP, California",1508,52703,63288
"King City city, California",3218,59712,73661
"Kings Beach CDP, California",1295,53388,64428
"Kingsburg city, California",4085,73349,98743
"Kingvale CDP, California",43,-,N
"Kirkwood CDP, California",89,129844,137546
"Klamath CDP, California",352,43819,64473
"Knightsen CDP, California",483,108250,122130
"Knights Ferry CDP, California",32,-,67725
"Knights Landing CDP, California",296,40583,42294
"La Cañada Flintridge city, California",6444,187384,277279
"La Crescenta-Montrose CDP, California",7167,107954,130882
"La Cresta CDP, California",2762,51277,61073
"Ladera CDP, California",558,170000,307011
"Ladera Heights CDP, California",2715,112604,156784
"Ladera Ranch CDP, California",7794,169706,211390
"Lafayette city, California",8917,192546,277216
"La Grange CDP, California",84,18438,35207
"Laguna Beach city, California",10536,135976,223062
"Laguna Hills city, California",11440,109750,157081
"Laguna Niguel city, California",25361,125495,168607
"Laguna Woods city, California",11933,53076,70559
"Lagunitas-Forest Knolls CDP, California",801,113389,121615
"La Habra city, California",19731,88002,104202
"La Habra Heights city, California",1970,181591,243523
"La Honda CDP, California",580,228864,247971
"Lake Almanor Country Club CDP, California",301,82757,101444
"Lake Almanor Peninsula CDP, California",156,95000,86938
"Lake Almanor West CDP, California",159,182292,214448
"Lake Arrowhead CDP, California",3927,79750,105451
"Lake California CDP, California",1323,88366,82236
"Lake City CDP, California",25,20625,44360
"Lake Davis CDP, California",51,-,61253
"Lake Don Pedro CDP, California",671,58852,80416
"Lake Elsinore city, California",19162,80350,98086
"Lake Forest city, California",29870,117374,143191
"Lakehead CDP, California",269,48472,63833
"Lake Hughes CDP, California",225,-,77977
"Lake Isabella CDP, California",1424,25304,37783
"Lakeland Village CDP, California",3228,72029,89036
"Lake Los Angeles CDP, California",3457,53307,63307
"Lake Mathews CDP, California",1923,96044,121809
"Lake Nacimiento CDP, California",1272,74430,87132
"Lake of the Pines CDP, California",1884,99128,122680
"Lake of the Woods CDP, California",299,51133,51351
"Lakeport city, California",2148,75155,100226
"Lake Riverside CDP, California",369,72446,94157
"Lake San Marcos CDP, California",2165,91308,110638
"Lake Shastina CDP, California",1140,66538,83022
"Lake Sherwood CDP, California",646,"250,000+",367893
"Lakeside CDP (Kern County), California",343,-,76496
"Lakeside CDP (San Diego County), California",7234,83720,102347
"Lakeview CDP, California",490,93636,187039
"Lake Wildwood CDP, California",1934,77128,87132
"Lakewood city, California",26664,102163,115710
"La Mesa city, California",24475,75616,95038
"La Mirada city, California",14679,97672,114778
"Lamont CDP, California",3556,40341,47678
"Lanare CDP, California",148,41724,56559
"Lancaster city, California",52448,61454,78533
"La Palma city, California",4931,106473,127770
"La Porte CDP, California",0,-,-
"La Presa CDP, California",11469,75743,97457
"La Puente city, California",9409,73827,86430
"La Quinta city, California",15375,83412,130335
"La Riviera CDP, California",4539,77493,92522
"Larkfield-Wikiup CDP, California",2903,84508,109823
"Larkspur city, California",6213,135260,197818
"La Selva Beach CDP, California",996,136058,149758
"Las Flores CDP (Orange County), California",1685,147404,176424
"Las Flores CDP (Tehama County), California",92,-,55955
"Las Lomas CDP, California",775,76949,93450
"Lathrop city, California",6816,99632,114601
"Laton CDP, California",487,50956,63336
"La Verne city, California",11589,95957,121949
"La Vina CDP, California",68,80100,73950
"Lawndale city, California",9726,72246,86481
"Laytonville CDP, California",332,49167,53267
"Lebec CDP, California",442,24198,43427
"Lee Vining CDP, California",60,-,N
"Leggett CDP, California",37,-,10819
"Le Grand CDP, California",490,50441,60720
"Lemon Cove CDP, California",139,54489,121120
"Lemon Grove city, California",9114,71082,82891
"Lemon Hill CDP, California",4488,43254,54510
"Lemoore city, California",9033,71503,81472
"Lemoore Station CDP, California",1443,59092,65741
"Lennox CDP, California",5658,49694,63521
"Lenwood CDP, California",1287,53961,64319
"Leona Valley CDP, California",614,105667,109374
"Lewiston CDP, California",500,51439,70171
"Lexington Hills CDP, California",869,210156,271535
"Likely CDP, California",0,-,-
"Lincoln city, California",18619,93232,114858
"Lincoln Village CDP, California",1203,78945,93941
"Linda CDP, California",7064,53571,65676
"Lindcove CDP, California",32,28750,41016
"Linden CDP, California",685,115016,110650
"Lindsay city, California",3763,39375,51724
"Linnell Camp CDP, California",155,30913,30098
"Litchfield CDP, California",53,58672,68253
"Little Grass Valley CDP, California",0,-,-
"Little River CDP, California",118,-,16739
"Littlerock CDP, California",283,48250,67702
"Little Valley CDP, California",16,33182,30631
"Live Oak CDP, California",6297,91317,121902
"Live Oak city, California",2469,62974,77036
"Livermore city, California",31094,139904,171681
"Livingston city, California",3299,68958,74208
"Lockeford CDP, California",1503,80324,105839
"Lockwood CDP (Amador County), California",214,-,140283
"Lockwood CDP (Monterey County), California",144,-,81476
"Lodi city, California",22621,70302,90456
"Lodoga CDP, California",62,-,95708
"Loleta CDP, California",257,54205,100361
"Loma Linda city, California",9475,63272,85006
"Loma Mar CDP, California",79,"250,000+",297622
"Loma Rica CDP, California",1058,97544,88418
"Lomita city, California",7861,85852,109330
"Lompico CDP, California",434,86087,108740
"Lompoc city, California",13432,60234,77000
"London CDP, California",376,34750,45290
"Lone Pine CDP, California",610,34946,58827
"Long Barn CDP, California",73,-,N
"Long Beach city, California",169958,71150,95035
"Lookout CDP, California",22,56250,54273
"Loomis town, California",2930,72955,114829
"Los Alamitos city, California",4165,91051,118562
"Los Alamos CDP, California",491,67418,127043
"Los Altos city, California",10805,"250,000+",357631
"Los Altos Hills town, California",3125,"250,000+",417418
"Los Angeles city, California",1384851,69778,106931
"Los Banos city, California",12025,69607,86747
"Los Berros CDP, California",60,124722,146508
"Los Gatos town, California",13036,166642,262651
"Los Molinos CDP, California",732,54643,57998
"Los Olivos CDP, California",370,114250,153261
"Los Osos CDP, California",6237,82894,96893
"Los Ranchos CDP, California",581,160987,215714
"Lost Hills CDP, California",478,39615,44188
"Lower Lake CDP, California",401,34384,51456
"Loyalton city, California",355,79185,105790
"Loyola CDP, California",1206,"250,000+",353156
"Lucas Valley-Marinwood CDP, California",2423,168221,243385
"Lucerne CDP, California",1282,44139,108771
"Lucerne Valley CDP, California",2075,38096,56051
"Lynwood city, California",15100,61612,75160
"Lytle Creek CDP, California",300,52083,60315
"Mabie CDP, California",44,-,N
"McArthur CDP, California",139,-,47961
"McClellan Park CDP, California",324,27500,46327
"McClenney Tract CDP, California",19,-,21695
"McCloud CDP, California",399,41950,57221
"Macdoel CDP, California",40,-,N
"McFarland city, California",3259,38651,51464
"McGee Creek CDP, California",0,-,-
"McKinleyville CDP, California",6442,59327,79304
"McKittrick CDP, California",49,39688,47978
"McSwain CDP, California",1499,111995,184339
"Madeline CDP, California",12,-,N
"Madera city, California",17371,53777,72238
"Madera Acres CDP, California",2625,92909,107578
"Madera Ranchos CDP, California",1091,88259,104192
"Madison CDP, California",166,42696,36907
"Mad River CDP, California",147,30125,49368
"Magalia CDP, California",4209,51766,68971
"Malaga CDP, California",273,45893,56008
"Malibu city, California",4442,178594,290715
"Mammoth Lakes town, California",3072,77545,91061
"Manchester CDP, California",89,54006,69780
"Manhattan Beach city, California",13422,169586,260549
"Manila CDP, California",324,61406,78243
"Manteca city, California",25698,82538,102656
"Manton CDP, California",146,118199,178723
"March ARB CDP, California",488,85435,79218
"Maricopa city, California",426,43654,55802
"Marina city, California",7676,78795,99320
"Marina del Rey CDP, California",5202,132746,173802
"Marin City CDP, California",1374,76148,143421
"Mariposa CDP, California",696,30061,48968
"Markleeville CDP, California",74,86667,89627
"Martell CDP, California",47,137902,114564
"Martinez city, California",14825,114390,141350
"Marysville city, California",4773,45867,57875
"Matheny CDP, California",257,56369,74823
"Mather CDP, California",1447,122813,131672
"Maxwell CDP, California",348,68542,71461
"Mayfair CDP, California",1756,42857,59156
"Mayflower Village CDP, California",1734,107500,116376
"Maywood city, California",6332,54535,66195
"Meadowbrook CDP, California",1056,49480,61598
"Meadow Valley CDP, California",196,74009,94947
"Meadow Vista CDP, California",1306,87614,120315
"Mead Valley CDP, California",4434,73592,87532
"Mecca CDP, California",2123,25202,32491
"Meiners Oaks CDP, California",1573,83789,96981
"Mendocino CDP, California",364,73750,84281
"Mendota city, California",2912,38360,48092
"Menifee city, California",32350,80741,99786
"Menlo Park city, California",11725,179913,276133
"Mentone CDP, California",3409,65949,88277
"Merced city, California",26673,52305,69969
"Meridian CDP, California",144,45833,71550
"Mesa CDP, California",165,120197,104107
"Mesa Verde CDP, California",269,43365,56700
"Mesa Vista CDP, California",85,93438,125706
"Mettler CDP, California",57,82750,77274
"Mexican Colony CDP, California",123,45353,47928
"Meyers CDP, California",906,91184,129937
"Middletown CDP, California",510,150473,131585
"Midpines CDP, California",180,58864,59379
"Midway City CDP, California",2505,48323,79935
"Milford CDP, California",33,-,N
"Millbrae city, California",8108,141399,182504
"Millerton CDP, California",216,177897,148024
"Mill Valley city, California",5622,179529,277907
"Millville CDP, California",309,97083,104077
"Milpitas city, California",23681,149312,174565
"Mineral CDP, California",76,44750,55786
"Minkler CDP, California",444,56776,103623
"Mira Monte CDP, California",2742,80174,110265
"Miranda CDP, California",205,-,50623
"Mission Canyon CDP, California",970,157778,239857
"Mission Hills CDP, California",1195,99517,126667
"Mission Viejo city, California",32690,126320,151595
"Mi-Wuk Village CDP, California",467,118163,114671
"Modesto city, California",71879,67011,89167
"Modjeska CDP, California",251,103967,158436
"Mohawk Vista CDP, California",29,-,N
"Mojave CDP, California",1403,44757,58858
"Mokelumne Hill CDP, California",320,76791,95471
"Monmouth CDP, California",30,36389,41387
"Mono City CDP, California",92,-,N
"Mono Vista CDP, California",1437,77054,83660
"Monrovia city, California",13553,87077,112007
"Monson CDP, California",52,48438,50112
"Montague city, California",550,53837,60466
"Montalvin Manor CDP, California",694,71833,83994
"Montara CDP, California",1040,165722,219568
"Montclair city, California",9912,67483,81261
"Montebello city, California",19119,66584,85862
"Montecito CDP, California",3207,193423,302974
"Monterey city, California",12912,85365,115071
"Monterey Park city, California",20318,68497,92296
"Monterey Park Tract CDP, California",41,140450,110441
"Monte Rio CDP, California",475,42442,91812
"Monte Sereno city, California",1219,"250,000+",418435
"Montgomery Creek CDP, California",80,-,101158
"Monument Hills CDP, California",527,"250,000+",372035
"Moorpark city, California",11494,125915,150371
"Morada CDP, California",1236,-,174824
"Moraga town, California",5505,167784,235523
"Moreno Valley city, California",53135,73635,87816
"Morgan Hill city, California",14721,139161,171892
"Morongo Valley CDP, California",1515,42552,59158
"Morro Bay city, California",4884,80808,103874
"Moskowite Corner CDP, California",44,-,99968
"Moss Beach CDP, California",1109,116773,152716
"Moss Landing CDP, California",5,-,N
"Mountain Center CDP, California",30,-,40413
"Mountain Gate CDP, California",378,30086,42961
"Mountain House CDP, California",5948,154357,165576
"Mountain Meadows CDP, California",79,-,154439
"Mountain Mesa CDP, California",303,46168,60263
"Mountain Ranch CDP, California",140,141017,129259
"Mountain View CDP, California",778,73496,96776
"Mountain View city, California",34316,158104,213751
"Mountain View Acres CDP, California",819,57156,76594
"Mt. Bullion CDP, California",64,-,41922
"Mount Hebron CDP, California",11,-,N
"Mount Hermon CDP, California",509,142782,141627
"Mount Laguna CDP, California",46,-,62852
"Mount Shasta city, California",1849,45020,62316
"Muir Beach CDP, California",168,181000,198677
"Murphys CDP, California",857,45282,61349
"Murrieta city, California",33599,98466,122616
"Muscoy CDP, California",2434,45907,68725
"Myers Flat CDP, California",33,-,N
"Myrtletown CDP, California",2094,52969,84365
"Napa city, California",29099,92700,118290
"National City city, California",17488,51735,67841
"Needles city, California",1955,32839,52647
"Nevada City city, California",1438,53534,84718
"Newark city, California",14354,144011,168380
"Newcastle CDP, California",634,93500,112342
"New Cuyama CDP, California",242,53947,64578
"Newell CDP, California",103,-,31799
"Newman city, California",3510,76895,91839
"New Pine Creek CDP, California",22,-,51064
"Newport Beach city, California",38724,142463,229388
"Nicasio CDP, California",23,-,407291
"Nice CDP, California",1071,45781,49564
"Nicolaus CDP, California",61,90417,93338
"Niland CDP, California",259,"2,500-",12110
"Nipinnawasee CDP, California",160,66366,66350
"Nipomo CDP, California",5667,88525,110794
"Norco city, California",7048,115619,129544
"Nord CDP, California",115,59522,65499
"Norris Canyon CDP, California",282,"250,000+",409585
"North Auburn CDP, California",5418,72549,90581
"North Edwards CDP, California",438,58068,66392
"North El Monte CDP, California",1235,88795,137873
"North Fair Oaks CDP, California",4033,108580,142365
"North Fork CDP, California",1218,60967,64053
"North Gate CDP, California",257,243808,385291
"North Highlands CDP, California",15986,55616,67938
"North Lakeport CDP, California",1211,61563,81111
"North Richmond CDP, California",1073,87740,101602
"North San Juan CDP, California",85,-,34714
"North Shore CDP, California",1089,29797,39954
"North Tustin CDP, California",8819,157487,200877
"Norwalk city, California",26353,83217,98365
"Novato city, California",20682,107975,142676
"Nubieber CDP, California",5,-,N
"Nuevo CDP, California",1816,89891,109206
"Oakdale city, California",8167,72479,91845
"Oak Glen CDP, California",111,-,137795
"Oak Hills CDP, California",2816,87744,111518
"Oakhurst CDP, California",2277,61250,82834
"Oakland city, California",167307,85628,124815
"Oakley city, California",12480,109806,121237
"Oak Park CDP, California",5018,143153,191131
"Oak Run CDP, California",118,21333,29754
"Oak Shores CDP, California",106,64274,139302
"Oak View CDP, California",2158,99375,111012
"Oakville CDP, California",0,-,-
"Oasis CDP, California",1150,20598,29294
"Occidental CDP, California",604,81250,163276
"Oceano CDP, California",2958,68495,82575
"Oceanside city, California",60838,80837,103633
"Ocotillo CDP, California",93,19191,20522
"Oildale CDP, California",12361,42073,52141
"Ojai city, California",3074,71700,119892
"Olancha CDP, California",72,61964,71492
"Olde Stockdale CDP, California",227,144441,197829
"Old Fig Garden CDP, California",1998,98438,127545
"Old River CDP, California",1,-,N
"Old Station CDP, California",10,-,N
"Old Stine CDP, California",1116,51000,60284
"Olivehurst CDP, California",5041,60548,74917
"Ono CDP, California",26,46250,50062
"Ontario city, California",51068,71908,87914
"Onyx CDP, California",316,32318,62150
"Orange city, California",43421,102125,136262
"Orange Blossom CDP, California",409,92872,117202
"Orange Cove city, California",2470,28626,39381
"Orangevale CDP, California",13726,89426,102164
"Orcutt CDP, California",10962,100979,119629
"Orick CDP, California",95,36042,59075
"Orinda city, California",7252,248984,345478
"Orland city, California",2797,49872,60722
"Orosi CDP, California",2187,53638,70980
"Oroville city, California",7352,38801,55957
"Oroville East CDP, California",3056,78016,91081
"Oxnard city, California",50403,83180,97990
"Pacheco CDP, California",1916,93737,110664
"Pacifica city, California",13986,138548,158221
"Pacific Grove city, California",6731,92980,121853
"Pajaro CDP, California",574,58529,71775
"Pajaro Dunes CDP, California",112,-,196650
"Pala CDP, California",321,90417,116269
"Palermo CDP, California",2071,42135,63012
"Palmdale city, California",46515,70858,86507
"Palm Desert city, California",23951,67514,105833
"Palm Springs city, California",23673,61597,104560
"Palo Alto city, California",26007,194782,272206
"Palo Cedro CDP, California",1125,97303,116744
"Palos Verdes Estates city, California",4909,202569,292814
"Palo Verde CDP, California",58,-,N
"Panorama Heights CDP, California",43,-,47356
"Paradise town, California",3479,51396,68286
"Paradise CDP, California",102,93333,104159
"Paradise Park CDP, California",246,88413,102694
"Paramount city, California",14347,60456,75642
"Parklawn CDP, California",314,-,81519
"Parksdale CDP, California",606,52321,57081
"Parkway CDP, California",4936,50422,66109
"Parkwood CDP, California",553,51391,74575
"Parlier city, California",3675,42818,55597
"Pasadena city, California",55191,89661,128785
"Pasatiempo CDP, California",375,199528,231359
"Paskenta CDP, California",21,48750,49452
"Patterson city, California",6403,82979,95783
"Patterson Tract CDP, California",524,46250,60695
"Patton Village CDP, California",301,50927,55347
"Paxton CDP, California",0,-,-
"Paynes Creek CDP, California",38,19138,29642
"Pearsonville CDP, California",0,-,-
"Penngrove CDP, California",1032,91618,115819
"Penn Valley CDP, California",482,56667,71788
"Penryn CDP, California",412,80455,94144
"Pepperdine University CDP, California",147,158313,196571
"Perris city, California",18114,70910,88178
"Pescadero CDP, California",109,-,344295
"Petaluma city, California",22756,100379,130191
"Petaluma Center CDP, California",138,50833,63957
"Peters CDP, California",188,97115,97112
"Phelan CDP, California",4941,66589,83390
"Phillipsville CDP, California",0,-,-
"Philo CDP, California",66,32308,52780
"Phoenix Lake CDP, California",2197,62946,101355
"Pico Rivera city, California",16996,78056,93869
"Piedmont city, California",3821,"250,000+",360360
"Pierpoint CDP, California",20,-,N
"Pike CDP, California",48,34100,31865
"Pine Canyon CDP, California",897,97656,91985
"Pine Flat CDP, California",77,26250,36297
"Pine Grove CDP, California",1239,75169,80805
"Pine Hills CDP, California",1185,66199,88190
"Pine Mountain Club CDP, California",1078,50588,65961
"Pine Mountain Lake CDP, California",1407,62303,86482
"Pine Valley CDP, California",630,108125,117398
"Pinole city, California",6794,104275,123770
"Piñon Hills CDP, California",2437,62844,94216
"Pioneer CDP, California",574,100548,100180
"Piru CDP, California",624,64342,75495
"Pismo Beach city, California",4283,94268,127480
"Pittsburg city, California",22604,88343,106249
"Pixley CDP, California",1073,42827,52092
"Placentia city, California",16371,103041,124330
"Placerville city, California",4500,64348,78345
"Plainview CDP, California",178,42813,42170
"Planada CDP, California",1016,44324,54952
"Platina CDP, California",12,-,N
"Pleasant Hill city, California",13825,131012,153999
"Pleasanton city, California",27733,167932,214158
"Pleasure Point CDP, California",2730,99615,137361
"Plumas Eureka CDP, California",226,83056,102269
"Plumas Lake CDP, California",2493,104021,129396
"Plymouth city, California",462,77643,85416
"Point Arena city, California",183,47969,58247
"Point Reyes Station CDP, California",205,-,98034
"Pollock Pines CDP, California",2790,58287,76747
"Pomona city, California",41457,67549,82734
"Ponderosa CDP, California",25,-,N
"Poplar-Cotton Center CDP, California",590,38667,43246
"Port Costa CDP, California",169,-,65164
"Porterville city, California",18305,48955,66302
"Port Hueneme city, California",6859,67386,80392
"Portola city, California",981,45234,69016
"Portola Valley town, California",1662,"250,000+",435371
"Posey CDP, California",0,-,-
"Poso Park CDP, California",3,-,N
"Post Mountain CDP, California",29,-,N
"Potomac Park CDP, California",2470,45519,55015
"Potrero CDP, California",59,-,93034
"Potter Valley CDP, California",199,69135,74704
"Poway city, California",16261,119847,155770
"Prattville CDP, California",39,48603,49623
"Princeton CDP, California",120,-,77471
"Proberta CDP, California",30,-,48977
"Prunedale CDP, California",5623,95175,121651
"Pumpkin Center CDP, California",67,-,36007
"Quartz Hill CDP, California",3678,83509,98551
"Quincy CDP, California",701,56305,75153
"Rackerby CDP, California",68,49375,137756
"Rail Road Flat CDP, California",85,50234,42960
"Rainbow CDP, California",724,71538,99157
"Raisin City CDP, California",92,45577,52500
"Ramona CDP, California",7156,82079,103741
"Rancho Calaveras CDP, California",2003,65344,94013
"Rancho Cordova city, California",26725,77044,93945
"Rancho Cucamonga city, California",56380,97046,121455
"Rancho Mirage city, California",8817,95158,147469
"Rancho Mission Viejo CDP, California",3469,152989,183208
"Rancho Murieta CDP, California",2369,133505,135752
"Rancho Palos Verdes city, California",15359,158996,205664
"Rancho San Diego CDP, California",7671,109205,147179
"Rancho Santa Fe CDP, California",984,196500,309329
"Rancho Santa Margarita city, California",16825,135350,157880
"Rancho Tehama Reserve CDP, California",544,42647,60678
"Randsburg CDP, California",44,24537,33711
"Red Bluff city, California",5806,41004,85355
"Red Corral CDP, California",611,70625,118247
"Redcrest CDP, California",9,-,N
"Redding city, California",36880,60624,82564
"Redlands city, California",25273,87184,119040
"Redondo Beach city, California",28776,123874,163428
"Redway CDP, California",623,72601,81997
"Redwood City city, California",30020,134287,189522
"Redwood Valley CDP, California",616,48750,69781
"Reedley city, California",6678,55498,69760
"Reliez Valley CDP, California",1180,183879,232705
"Rexland Acres CDP, California",852,48831,52131
"Rialto city, California",26726,69934,84834
"Richfield CDP, California",106,74167,61797
"Richgrove CDP, California",518,17000,30798
"Richmond city, California",39493,79478,100237
"Richvale CDP, California",78,-,230941
"Ridgecrest city, California",11045,77534,91926
"Ridgecrest Heights CDP, California",151,-,41680
"Ridgemark CDP, California",1133,135066,144382
"Rio Dell city, California",1371,36648,56266
"Rio del Mar CDP, California",3843,131835,171356
"Rio Linda CDP, California",5151,80364,92434
"Rio Oso CDP, California",110,161667,160221
"Rio Vista city, California",5025,76423,85691
"Ripley CDP, California",191,25864,28475
"Ripon city, California",5585,102633,125677
"Riverbank city, California",7337,75216,92468
"Riverdale CDP, California",707,34267,58049
"Riverdale Park CDP, California",246,59167,64411
"Rivergrove CDP, California",28,-,80543
"River Pines CDP, California",157,-,68846
"Riverside city, California",88340,76755,96476
"Robbins CDP, California",131,76042,76603
"Robinson Mill CDP, California",38,-,N
"Rocklin city, California",24179,106164,131347
"Rodeo CDP, California",3247,85825,107755
"Rodriguez Camp CDP, California",28,36250,31989
"Rohnert Park city, California",17186,82808,101091
"Rolling Hills city, California",546,"250,000+",438434
"Rolling Hills CDP, California",298,82016,111305
"Rolling Hills Estates city, California",2758,160724,239507
"Rollingwood CDP, California",859,100066,97908
"Romoland CDP, California",558,90185,94071
"Rosamond CDP, California",6596,70208,86192
"Rosedale CDP, California",6164,120697,163884
"Rose Hills CDP, California",1026,105776,128746
"Rosemead city, California",13927,64224,83054
"Rosemont CDP, California",8921,77495,94079
"Roseville city, California",54571,102660,123513
"Ross town, California",852,"250,000+",363130
"Rossmoor CDP, California",4046,153750,193372
"Rough and Ready CDP, California",245,-,51799
"Round Mountain CDP, California",66,34167,44577
"Round Valley CDP, California",164,53125,80710
"Rouse CDP, California",370,52986,59011
"Rowland Heights CDP, California",14903,79476,103847
"Rumsey CDP, California",64,-,176003
"Running Springs CDP, California",1580,75682,85577
"Ruth CDP, California",76,46250,66701
"Rutherford CDP, California",43,-,193321
"Sacramento city, California",194004,71074,93320
"Sage CDP, California",992,59595,82210
"St. Helena city, California",2466,122348,209488
"Salida CDP, California",4278,87554,106268
"Salinas city, California",42984,75747,92586
"Salmon Creek CDP, California",14,-,N
"Salton City CDP, California",2343,29937,39079
"Salton Sea Beach CDP, California",141,-,51792
"Salyer CDP, California",237,33490,56002
"Samoa CDP, California",76,39700,65512
"San Andreas CDP, California",1011,23733,41793
"San Anselmo town, California",4995,153381,217811
"San Antonio Heights CDP, California",1062,141190,174299
"San Ardo CDP, California",158,61667,67406
"San Bernardino city, California",61680,55372,70063
"San Bruno city, California",15308,117747,143341
"San Buenaventura (Ventura) city, California",42091,86718,108241
"San Carlos city, California",11393,204570,279101
"San Clemente city, California",24006,123090,170898
"Sand City city, California",172,60682,84317
"San Diego city, California",509347,89457,121230
"San Diego Country Estates CDP, California",3440,122269,139931
"San Dimas city, California",11812,101144,119138
"San Fernando city, California",6417,64581,88693
"San Francisco city, California",361222,126187,178742
"San Gabriel city, California",12154,76918,102290
"Sanger city, California",7352,59650,76317
"San Geronimo CDP, California",130,-,144737
"San Jacinto city, California",14739,62144,76897
"San Joaquin city, California",824,38878,54251
"San Jose city, California",324376,125075,162521
"San Juan Bautista city, California",699,92404,99465
"San Juan Capistrano city, California",12460,111875,152296
"San Leandro city, California",30809,89663,111078
"San Lorenzo CDP, California",8939,95903,111542
"San Lucas CDP, California",66,70227,73526
"San Luis Obispo city, California",19035,61862,96358
"San Marcos city, California",30304,90620,117376
"San Marino city, California",3942,174722,235807
"San Martin CDP, California",2040,121944,144367
"San Mateo city, California",40233,133612,181897
"San Miguel CDP (Contra Costa County), California",1236,205000,284220
"San Miguel CDP (San Luis Obispo County), California",832,66496,67102
"San Pablo city, California",9446,67294,77175
"San Pasqual CDP, California",843,130250,172818
"San Rafael city, California",23816,104521,155715
"San Ramon city, California",29084,173519,202875
"San Simeon CDP, California",238,50486,53680
"Santa Ana city, California",76624,77283,94914
"Santa Barbara city, California",36932,89243,130408
"Santa Clara city, California",45830,150244,184760
"Santa Clarita city, California",73294,106166,128588
"Santa Cruz city, California",22067,96217,132353
"Santa Fe Springs city, California",5539,75086,92038
"Santa Margarita CDP, California",488,-,63956
"Santa Maria city, California",28803,73300,86499
"Santa Monica city, California",46664,99847,158034
"Santa Nella CDP, California",501,75689,82809
"Santa Paula city, California",8972,67697,81098
"Santa Rosa city, California",67662,84823,108164
"Santa Rosa Valley CDP, California",906,160357,261339
"Santa Susana CDP, California",408,71458,105817
"Santa Venetia CDP, California",1535,104837,138358
"Santa Ynez CDP, California",1806,113333,137433
"Santee city, California",20620,92848,107980
"Saranap CDP, California",2428,129063,196756
"Saratoga city, California",11039,224179,303668
"Saticoy CDP, California",507,73523,84064
"Sattley CDP, California",38,-,N
"Sausalito city, California",4117,140417,194263
"Scotia CDP, California",179,42768,55317
"Scotts Valley city, California",4831,114504,151205
"Seacliff CDP, California",1574,86146,135065
"Seal Beach city, California",13040,75821,115999
"Sea Ranch CDP, California",583,82552,115393
"Searles Valley CDP, California",648,39186,53841
"Seaside city, California",10321,74140,90056
"Sebastopol city, California",3221,89679,107406
"Seeley CDP, California",444,43500,44505
"Selma city, California",7179,47644,60327
"Sequoia Crest CDP, California",19,-,N
"Sereno del Mar CDP, California",23,-,N
"Seville CDP, California",90,41667,49351
"Shafter city, California",4981,56696,66754
"Shandon CDP, California",349,77734,95901
"Shasta CDP, California",552,86500,102698
"Shasta Lake city, California",3988,51713,64090
"Shaver Lake CDP, California",201,112188,109325
"Shell Ridge CDP, California",385,215179,386258
"Shelter Cove CDP, California",440,39769,43703
"Sheridan CDP, California",364,64783,82747
"Shingle Springs CDP, California",1445,89196,126547
"Shingletown CDP, California",1128,65861,75154
"Shoshone CDP, California",18,-,136211
"Sierra Brooks CDP, California",144,56641,84090
"Sierra City CDP, California",76,66932,89011
"Sierra Madre city, California",4961,116884,169865
"Sierra Village CDP, California",35,-,N
"Sierraville CDP, California",66,-,45856
"Signal Hill city, California",4580,79309,99520
"Silverado CDP, California",402,90938,97807
"Silverado Resort CDP, California",507,162083,220266
"Silver City CDP, California",0,-,-
"Silver Lakes CDP, California",2194,89511,103095
"Simi Valley city, California",43893,102627,127827
"Sisquoc CDP, California",75,62917,74701
"Sky Valley CDP, California",1020,37714,65237
"Sleepy Hollow CDP, California",764,194107,324448
"Smartsville CDP, California",97,69095,80848
"Smith Corner CDP, California",84,36500,38880
"Smith River CDP, California",251,86250,72117
"Snelling CDP, California",59,43250,53953
"Soda Bay CDP, California",412,90517,109659
"Soda Springs CDP, California",13,-,N
"Solana Beach city, California",5278,113903,172564
"Soledad city, California",3660,67366,82655
"Solvang city, California",2542,94451,144026
"Somis CDP, California",382,106786,203938
"Sonoma city, California",5222,92078,126383
"Sonoma State University CDP, California",0,-,-
"Sonora city, California",2097,56279,76916
"Soquel CDP, California",4120,107114,144303
"Soulsbyville CDP, California",705,85265,95191
"South Dos Palos CDP, California",279,-,74709
"South El Monte city, California",4897,60244,76350
"South Gate city, California",23858,59647,73159
"South Lake Tahoe city, California",9078,57976,92351
"South Monrovia Island CDP, California",1503,94250,97834
"South Oroville CDP, California",971,57013,67664
"South Pasadena city, California",10345,115088,172088
"South San Francisco city, California",21895,112818,148908
"South San Gabriel CDP, California",2205,65946,75015
