clean_city,NAME,NAMELSAD,num_firms,44-45_RCPTOT,72_RCPTOT,31-33_RCPTOT,median_income,households,mean_income,land_value,property_value,diesel
santa clara,Santa Clara,Santa Clara city,1.0,2059865.0,773339.0,3959373.0,150244.0,45830.0,184760.0,814813.3632575058,1270396.8338457637,5.5942
santa clarita,Santa Clarita,Santa Clarita city,9.0,3538646.0,504818.0,3316755.0,106166.0,73294.0,128588.0,257728.09808868292,542306.0441461751,5.575200000000001
santa fe springs,Santa Fe Springs,Santa Fe Springs city,16.0,658591.0,109357.0,4195056.0,75086.0,5539.0,92038.0,288789.2626798384,585160.812103194,5.575200000000001
santa maria,Santa Maria,Santa Maria city,55.0,1761758.0,224269.0,1254423.0,73300.0,28803.0,86499.0,101575.98213618848,403074.00229783176,5.598199999999999
santa paula,Santa Paula,Santa Paula city,3.0,202185.0,40345.0,112274.0,67697.0,8972.0,81098.0,207885.7038102416,513113.84623470897,5.668
santa rosa,Santa Rosa,Santa Rosa city,7.0,3621504.0,455010.0,1176010.0,84823.0,67662.0,108164.0,198238.29398899095,606252.2396444579,5.612
scotts valley,Scotts Valley,Scotts Valley city,2.0,195749.0,39665.0,614517.0,114504.0,4831.0,151205.0,437252.9763906046,837061.9253002494,5.6268
seaside,Seaside,Seaside city,1.0,710728.0,97086.0,,74140.0,10321.0,90056.0,337737.73571575334,624138.7643060036,5.7104
sebastopol,Sebastopol,Sebastopol city,1.0,195590.0,47033.0,,89679.0,3221.0,107406.0,263848.85626625246,696811.3016824727,5.612
selma,Selma,Selma city,29.0,549126.0,45594.0,,47644.0,7179.0,60327.0,52994.18694372121,233848.95711732772,5.515600000000001
shafter,Shafter,Shafter city,8.0,87969.0,,304195.0,56696.0,4981.0,66754.0,39522.74561061429,235627.45610614287,5.6938
shandon,Shandon,Shandon CDP,1.0,,,,77734.0,349.0,95901.0,81800.0,368000.0,5.82
signal hill,Signal Hill,Signal Hill city,1.0,1591270.0,77757.0,,79309.0,4580.0,99520.0,435459.3047275966,703943.6329608475,5.575200000000001
simi valley,Simi Valley,Simi Valley city,3.0,2026250.0,274665.0,1087804.0,102627.0,43893.0,127827.0,293602.8688100219,599072.6257926024,5.667999792269515
