diesel,land_value,total_income,44-45_RCPTOT,72_RCPTOT,num_firms,NAMELSAD
-0.7906141137312395,-0.848189938478644,-0.24769797448800662,-0.33379256299706067,-0.24539349829248494,2.0,Adelanto city
0.3141267670943881,0.308893601827475,0.02909958152472902,0.32689547808648584,0.037790429360872464,6.0,Alhambra city
-1.020432472151179,0.5869518965315204,0.02120815416835763,-0.2205877323075646,-0.11823269873611023,1.0,Aliso Viejo city
1.465234509706483,-0.5603872690397766,-0.22065744592234365,-0.27849938357891685,-0.22876621089850432,4.0,American Canyon city
-1.0204323164542175,0.131786998101906,0.9964653602887289,1.1550685541321928,2.710158371676875,10.0,Anaheim city
-2.1775880663006353,-0.7840234128415402,-0.2853875575890135,-0.2738655611049148,-0.2219611573792716,1.0,Anderson city
-0.7986779157810696,-0.6729164251716419,-0.1339604643479233,-0.21411592702687102,-0.21555667671779752,39.0,Antelope CDP
0.7192335803980681,-0.6614842810575051,0.13705840280719997,0.037922676845196894,-0.10553852144842622,1.0,Antioch city
-0.7906141137312395,-0.8085192235987158,-0.06837363711834077,-0.1158036329198521,-0.1589904013802169,4.0,Apple Valley town
0.3141267670943881,1.5078821029951268,0.002848984996067159,-0.012128259031447165,0.050875809380987395,3.0,Arcadia city
2.78165019433993,-0.26420019379243265,-0.2207749987525378,-0.22972570795721126,-0.19036977983697478,2.0,Arroyo Grande city
0.3141267670943881,0.1740885687941524,-0.26381053902003265,-0.2773076273299799,-0.15901851175619994,3.0,Artesia city
1.5095854209805084,-0.8158885773799499,-0.28710200845064854,-0.31498733483417185,-0.24527051539755906,11.0,Arvin city
2.781650194339939,-0.5070489444080538,-0.16368794938543532,-0.23411715130676305,-0.17558020827288678,1.0,Atascadero city
-0.9438263526778599,-0.7799231839452109,-0.22499240008247054,-0.2584596471640903,-0.21806318524295382,14.0,Atwater city
0.3141267670943881,-0.16400612733447414,-0.16341369485495433,-0.18394431922321614,-0.16866388451538777,3.0,Azusa city
1.5095854209805084,-0.7543229214992542,1.0430729419242997,1.8135755364180255,0.8660298622631205,441.0,Bakersfield city
0.3141267670943881,-0.22621610079955062,-0.12767622703128112,-0.01615472040496815,-0.13010113372929183,11.0,Baldwin Park city
0.719332820097934,-0.6175030119195698,-0.23979815637368507,-0.3345493794468748,-0.248984598824321,2.0,Bay Point CDP
-1.0022889175390768,-0.7418388970578478,-0.1162753535925365,-0.18305253363996177,-0.18925473492298003,7.0,Beaumont city
0.3141267670943881,-0.09102197670417266,-0.06542454257136084,-0.15659434361760782,-0.11546968303010852,6.0,Bellflower city
1.011645644403992,1.7903545107558765,-0.01756327114562977,-0.23688967169970962,-0.1673485531725137,1.0,Belmont city
-0.8389969260301665,-0.3435581342740201,-0.13052608977579672,-0.26053753583886013,-0.1831934351016325,1.0,Benicia city
0.3141267670943881,8.377496069385442,0.04521991906527507,0.9989382391736165,0.855268273324272,1.0,Beverly Hills city
-0.7906141137312395,-0.7621292487547875,-0.27097773954239013,-0.35004715719579993,-0.2556760395739555,1.0,Big Bear City CDP
-0.7906250473202145,-0.6544806328963547,-0.26211645025781505,-0.33192207453519507,-0.25156606835209877,5.0,Bloomington CDP
-0.8248852724429839,-0.32079947631563094,-0.24032687825206334,-0.35427819220351436,-0.23242992990162994,1.0,Bonita CDP
-1.0204187321851685,0.3140453699882391,-0.04472529670974526,0.0573663584743855,0.09543661164246903,1.0,Brea city
0.5459610760267696,-0.4783577811418023,-0.2883138068537203,-0.2989351943355929,-0.2038896994191612,1.0,Buellton city
-1.020370884083007,0.048322731948825054,0.003881037515786094,0.30023801426502117,0.08718855882277252,6.0,Buena Park city
0.3141267670943881,0.587264247733717,0.30295418380629835,0.6068186342628403,0.6139793472766693,5.0,Burbank city
1.249527804873744,0.00495524177828736,0.09718977597884969,0.12545157317055028,-0.004710116594183984,2.0,Camarillo city
-0.8248852724429839,0.24676023124039068,0.5426660848816321,0.741334455142341,0.5987634350101715,3.0,Carlsbad city
1.6769093135143114,0.33467419966456324,-0.27443529085708385,-0.3503149755286473,-0.22104405636282423,1.0,Carmel Valley Village CDP
-0.7986779157810696,-0.5447149949118828,0.07509368615857138,-0.20982306060985803,-0.17282070636388294,3.0,Carmichael CDP
0.5459610760267696,0.530946258250275,-0.24511190650468082,-0.32314342770415766,-0.1902104877064041,1.0,Carpinteria city
0.3141267670943881,-0.0837334414311495,0.03935469297751866,0.3788335085749214,0.01991574403264349,2.0,Carson city
0.3141267670943881,-0.36860499235788985,-0.21648531520058037,-0.30225677764311054,-0.2309799030071704,2.0,Castaic CDP
1.6769093135143114,-0.529157113181563,-0.3030480258162258,-0.3495390796725354,-0.2513048761085895,2.0,Castroville CDP
-1.0022889175390768,-0.6462267814277413,-0.13393308644151894,0.021105240160671463,-0.13088822425681754,1.0,Cathedral City city
-0.21002036614405153,-0.7272441293571582,-0.1909088956169555,-0.20007065741295332,-0.18097740046163452,34.0,Ceres city
0.3138221733842797,0.4154902732243009,-0.04157336704827091,1.0632305385622394,0.11461608692257842,4.0,Cerritos city
-1.0022884182298397,-0.7513378230919778,-0.2823195939710732,-0.3556169305454125,-0.2514946211464752,1.0,Cherry Valley CDP
-2.9900161228202045,-0.6600366513576486,0.11011611030921557,0.43372778707250487,0.10900103931996197,2.0,Chico city
-0.7906074495746813,-0.3771252575777119,0.004729910405668397,0.14537047334549053,-0.04984718156331837,14.0,Chino city
-0.790568624853024,-0.0012623720147784696,0.09045415891401756,-0.11135318473971255,-0.038396888412884814,5.0,Chino Hills city
