,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,clean_city,regular,mid,premium,diesel
1100,06,50034,02408892,0650034,Murphys,Murphys CDP,murphys,,,,
1101,06,50132,02408894,0650132,Muscoy,Muscoy CDP,muscoy,4.5847999999999995,4.752800000000001,4.9164,5.4656
1102,06,50146,02611442,0650146,Myers Flat,Myers Flat CDP,myers flat,,,,
1103,06,50188,02408896,0650188,Myrtletown,Myrtletown CDP,myrtletown,,,,
1104,06,51000,02583089,0651000,Newcastle,Newcastle CDP,newcastle,,,,
1105,06,51042,02583091,0651042,Newell,Newell CDP,newell,,,,
1106,06,51168,02583092,0651168,New Pine Creek,New Pine Creek CDP,new pine creek,,,,
1107,06,51280,02628764,0651280,Nicasio,Nicasio CDP,nicasio,4.7588,4.946199999999999,5.1038,5.5982
1108,06,51294,02408925,0651294,Nice,Nice CDP,nice,,,,
1109,06,51336,02583093,0651336,Nicolaus,Nicolaus CDP,nicolaus,4.3162,4.509,4.6782,5.287599999999999
1110,06,51392,02408926,0651392,Niland,Niland CDP,niland,4.4272,4.6132,4.7726,5.5649999999999995
1111,06,51470,02628765,0651470,Nipinnawasee,Nipinnawasee CDP,nipinnawasee,4.4788,4.7012,4.9118,5.4125999999999985
1112,06,51476,02408927,0651476,Nipomo,Nipomo CDP,nipomo,4.918,5.093999999999999,5.2308,5.82
1113,06,51574,02612484,0651574,Nord,Nord CDP,nord,4.362,4.5306,4.6816,5.247400000000001
1114,06,51622,02583094,0651622,Norris Canyon,Norris Canyon CDP,norris canyon,4.6502,4.8524,4.9908,5.615399999999999
1115,06,51637,02408934,0651637,North Auburn,North Auburn CDP,north auburn,,,,
1116,06,51812,02408937,0651812,North Edwards,North Edwards CDP,north edwards,4.6046,4.7696,4.971200000000001,5.6938
1117,06,51820,02408938,0651820,North El Monte,North El Monte CDP,north el monte,4.6856,4.8792,5.006600000000001,5.575200000000001
1118,06,51840,02408940,0651840,North Fair Oaks,North Fair Oaks CDP,north fair oaks,4.7842,4.9694,5.1246,5.6444
1119,06,51924,02408941,0651924,North Highlands,North Highlands CDP,north highlands,4.5402000000000005,4.7362,4.8944,5.464799999999999
1120,06,51990,02408942,0651990,North Lakeport,North Lakeport CDP,north lakeport,,,,
1121,06,52162,02583096,0652162,North Richmond,North Richmond CDP,north richmond,4.6502,4.8524,4.9908,5.615399999999999
1122,06,52246,02628766,0652246,North San Juan,North San Juan CDP,north san juan,,,,
1123,06,52715,02583099,0652715,Oak Glen,Oak Glen CDP,oak glen,4.58479977721148,4.752800151496193,4.916399951877681,5.465599812857644
1124,06,52760,02583100,0652760,Oak Hills,Oak Hills CDP,oak hills,4.5847999999999995,4.752800000000001,4.9164,5.4656
1125,06,52764,02408967,0652764,Oakhurst,Oakhurst CDP,oakhurst,4.4788,4.7012,4.9118,5.412599999999999
1126,06,53116,02408964,0653116,Oak Park,Oak Park CDP,oak park,4.686599977906366,4.8726001458179855,5.011599889531829,5.6679979497107515
1127,06,53160,02583101,0653160,Oak Shores,Oak Shores CDP,oak shores,4.918,5.093999999999999,5.2308,5.82
1128,06,53182,02408966,0653182,Oak View,Oak View CDP,oak view,4.6866,4.8726,5.0116,5.668
1129,06,53196,02583102,0653196,Oakville,Oakville CDP,oakville,4.8506,4.9854,5.1236,5.6894
1130,06,53266,02408971,0653266,Occidental,Occidental CDP,occidental,4.7624,4.9706,5.1084000000000005,5.612
1131,06,53378,02408976,0653378,Ocotillo,Ocotillo CDP,ocotillo,4.4272,4.6132,4.7726,5.5649999999999995
1132,06,53448,02408979,0653448,Oildale,Oildale CDP,oildale,4.6046,4.7696,4.9712000000000005,5.6938
1133,06,53490,02408982,0653490,Olancha,Olancha CDP,olancha,,,,
1134,06,53602,02628770,0653602,Old Station,Old Station CDP,old station,4.457,4.5764,4.7018,5.328
1135,06,53714,02408986,0653714,Olivehurst,Olivehurst CDP,olivehurst,4.3162,4.509,4.6781999999999995,5.287599999999999
1136,06,53910,02408991,0653910,Onyx,Onyx CDP,onyx,4.6046,4.7696,4.9712000000000005,5.6937999999999995
1137,06,54092,02408995,0654092,Orangevale,Orangevale CDP,orangevale,4.5402000000000005,4.7362,4.8944,5.4648
1138,06,54120,02408999,0654120,Orcutt,Orcutt CDP,orcutt,4.6266,4.7832,4.9204,5.598200000000001
1139,06,54218,02611444,0654218,Orick,Orick CDP,orick,,,,
1140,06,54372,02409000,0654372,Orosi,Orosi CDP,orosi,4.5114,4.708,4.889,5.5364
1141,06,54388,02409001,0654388,Oroville East,Oroville East CDP,oroville east,4.362,4.5306,4.6816,5.247400000000001
1142,06,54764,02409012,0654764,Pacheco,Pacheco CDP,pacheco,4.6502,4.8524,4.9908,5.615399999999998
1143,06,55048,02583104,0655048,Pajaro Dunes,Pajaro Dunes CDP,pajaro dunes,4.6268,4.8768,5.002,5.6268
1144,06,55058,02585656,0655058,Pala,Pala CDP,pala,4.6766,4.872,5.010800000000001,5.4622
1145,06,55086,02409019,0655086,Palermo,Palermo CDP,palermo,4.362,4.5306,4.6816,5.247400000000001
1146,06,55422,02409022,0655422,Palo Verde,Palo Verde CDP,palo verde,4.427212013636342,4.613214188050159,4.77261253911968,5.5649890916906815
1147,06,55528,02583105,0655528,Paradise,Paradise CDP,paradise,,,,
1148,06,55604,02583106,0655604,Paradise Park,Paradise Park CDP,paradise park,4.6268,4.8768,5.002,5.6268
1149,06,55728,02628771,0655728,Parklawn,Parklawn CDP,parklawn,4.3578,4.5728,4.7512,5.5232
1150,06,55751,02409034,0655751,Parksdale,Parksdale CDP,parksdale,4.4788,4.7012,4.9118,5.412599999999999
1151,06,55800,02583107,0655800,Parkway,Parkway CDP,parkway,4.5402000000000005,4.7362,4.8944,5.464799999999999
1152,06,55842,02409036,0655842,Parkwood,Parkwood CDP,parkwood,4.4788,4.7012,4.9118,5.412599999999999
1153,06,56140,02583109,0656140,Patton Village,Patton Village CDP,patton village,,,,
1154,06,56182,02409040,0656182,Paxton,Paxton CDP,paxton,,,,
1155,06,41194,02408601,0641194,Lenwood,Lenwood CDP,lenwood,4.5847999999999995,4.752800000000001,4.9164,5.4656
1156,06,41670,02408614,0641670,Linden,Linden CDP,linden,4.4346000000000005,4.6568,4.796,5.4856
1157,06,42104,02408625,0642104,Lockeford,Lockeford CDP,lockeford,4.4346000000000005,4.6568,4.796,5.4856
1158,06,49180,02408866,0649180,Morada,Morada CDP,morada,4.4346000000000005,4.6568,4.796,5.4856
1159,06,41740,02585430,0641740,Linnell Camp,Linnell Camp CDP,linnell camp,4.5114,4.708,4.889,5.5364
1160,06,41908,02611439,0641908,Little Valley,Little Valley CDP,little valley,,,,
1161,06,42146,02583058,0642146,Lockwood,Lockwood CDP,lockwood,4.7262,4.924,5.0846,5.7104
1162,06,43126,02583062,0643126,Lookout,Lookout CDP,lookout,,,,
1163,06,44042,02583063,0644042,Los Berros,Los Berros CDP,los berros,4.918,5.093999999999999,5.2308,5.82
1164,06,44242,02583065,0644242,Los Ranchos,Los Ranchos CDP,los ranchos,4.918,5.093999999999999,5.2308,5.82
1165,06,44399,02408149,0644399,Lucas Valley-Marinwood,Lucas Valley-Marinwood CDP,lucas valley-marinwood,4.7588,4.946199999999999,5.1038,5.5982
1166,06,49950,02408888,0649950,Muir Beach,Muir Beach CDP,muir beach,4.7588,4.946199999999999,5.1038,5.5982
1167,06,44406,02408150,0644406,Lucerne,Lucerne CDP,lucerne,,,,
1168,06,44420,02627937,0644420,Lucerne Valley,Lucerne Valley CDP,lucerne valley,4.5847999999999995,4.752800000000001,4.9164,5.465600000000001
1169,06,44644,02583066,0644644,Lytle Creek,Lytle Creek CDP,lytle creek,4.5847999999999995,4.752800000000001,4.9164,5.4656
1170,06,44760,02583067,0644760,McClellan Park,McClellan Park CDP,mcclellan park,4.5402000000000005,4.7362,4.8944,5.464799999999999
1171,06,44770,02585431,0644770,McClenney Tract,McClenney Tract CDP,mcclenney tract,4.5114,4.708,4.889,5.5364
1172,06,48676,02585434,0648676,Monson,Monson CDP,monson,4.5114,4.708,4.889,5.5364
1173,06,55506,02585435,0655506,Panorama Heights,Panorama Heights CDP,panorama heights,4.5114,4.708,4.889,5.5364
1174,06,44924,02408203,0644924,McKittrick,McKittrick CDP,mckittrick,4.6046,4.7696,4.9712000000000005,5.6938
