random,trial_label,num_firms,count
8222,typical_business,4,59
8222,typical_business,5,66
8222,one_percent,0,243
8222,one_percent,1,82
8222,one_percent,2,4
8222,one_percent,3,72
8222,one_percent,4,63
8222,one_percent,5,61
8222,five_percent,0,277
8222,five_percent,1,80
8222,five_percent,2,12
8222,five_percent,3,59
8222,five_percent,4,70
8222,five_percent,5,27
1182,original,0,261
1182,original,1,84
1182,original,2,3
1182,original,3,10
1182,original,4,64
1182,original,5,103
1182,typical_business,0,261
1182,typical_business,1,84
1182,typical_business,2,3
1182,typical_business,3,11
1182,typical_business,4,64
1182,typical_business,5,102
1182,one_percent,0,261
1182,one_percent,1,84
1182,one_percent,2,3
1182,one_percent,3,11
1182,one_percent,4,67
1182,one_percent,5,99
1182,five_percent,0,266
1182,five_percent,1,83
1182,five_percent,2,5
1182,five_percent,3,14
1182,five_percent,4,74
1182,five_percent,5,83
7916,original,0,230
7916,original,1,74
7916,original,2,33
7916,original,3,80
7916,original,4,46
7916,original,5,62
7916,typical_business,0,233
7916,typical_business,1,74
7916,typical_business,2,33
7916,typical_business,3,77
7916,typical_business,4,46
7916,typical_business,5,62
7916,one_percent,0,239
7916,one_percent,1,74
7916,one_percent,2,37
7916,one_percent,3,68
7916,one_percent,4,49
7916,one_percent,5,58
7916,five_percent,0,263
7916,five_percent,1,90
7916,five_percent,2,30
7916,five_percent,3,53
7916,five_percent,4,56
7916,five_percent,5,33
8060,original,0,260
8060,original,1,71
8060,original,2,42
8060,original,3,39
8060,original,4,77
8060,original,5,36
8060,typical_business,0,261
8060,typical_business,1,71
8060,typical_business,2,41
8060,typical_business,3,40
8060,typical_business,4,77
8060,typical_business,5,35
8060,one_percent,0,266
8060,one_percent,1,71
8060,one_percent,2,39
8060,one_percent,3,39
8060,one_percent,4,78
8060,one_percent,5,32
8060,five_percent,0,272
8060,five_percent,1,72
8060,five_percent,2,37
8060,five_percent,3,44
8060,five_percent,4,82
8060,five_percent,5,18
7962,original,0,185
7962,original,1,65
7962,original,2,135
7962,original,3,0
7962,original,4,61
7962,original,5,79
7962,typical_business,0,187
7962,typical_business,1,65
7962,typical_business,2,133
7962,typical_business,3,0
7962,typical_business,4,61
7962,typical_business,5,79
7962,one_percent,0,197
7962,one_percent,1,65
7962,one_percent,2,127
7962,one_percent,3,3
7962,one_percent,4,60
7962,one_percent,5,73
7962,five_percent,0,262
7962,five_percent,1,68
7962,five_percent,2,75
7962,five_percent,3,4
7962,five_percent,4,74
7962,five_percent,5,42
7644,original,0,245
7644,original,1,68
7644,original,2,50
7644,original,3,13
7644,original,4,93
7644,original,5,56
7644,typical_business,0,247
7644,typical_business,1,67
7644,typical_business,2,49
7644,typical_business,3,13
7644,typical_business,4,95
7644,typical_business,5,54
7644,one_percent,0,248
7644,one_percent,1,70
7644,one_percent,2,47
7644,one_percent,3,15
7644,one_percent,4,97
7644,one_percent,5,48
7644,five_percent,0,267
7644,five_percent,1,76
7644,five_percent,2,43
7644,five_percent,3,22
7644,five_percent,4,93
7644,five_percent,5,24
9161,original,0,167
9161,original,1,98
9161,original,2,4
9161,original,3,125
9161,original,4,63
9161,original,5,68
9161,typical_business,0,169
9161,typical_business,1,96
9161,typical_business,2,4
9161,typical_business,3,126
9161,typical_business,4,63
9161,typical_business,5,67
9161,one_percent,0,170
9161,one_percent,1,100
9161,one_percent,2,4
9161,one_percent,3,122
9161,one_percent,4,66
9161,one_percent,5,63
9161,five_percent,0,179
9161,five_percent,1,103
9161,five_percent,2,10
9161,five_percent,3,115
9161,five_percent,4,65
9161,five_percent,5,53
2431,original,0,271
2431,original,1,84
2431,original,2,11
2431,original,3,16
2431,original,4,61
2431,original,5,82
2431,typical_business,0,271
2431,typical_business,1,92
2431,typical_business,2,11
2431,typical_business,3,11
2431,typical_business,4,59
2431,typical_business,5,81
2431,one_percent,0,273
2431,one_percent,1,95
2431,one_percent,2,11
2431,one_percent,3,10
2431,one_percent,4,64
2431,one_percent,5,72
2431,five_percent,0,283
2431,five_percent,1,109
2431,five_percent,2,13
2431,five_percent,3,21
2431,five_percent,4,71
2431,five_percent,5,28
246,original,0,269
246,original,1,84
246,original,2,15
246,original,3,16
246,original,4,97
246,original,5,44
246,typical_business,0,269
246,typical_business,1,84
246,typical_business,2,16
246,typical_business,3,15
246,typical_business,4,99
246,typical_business,5,42
246,one_percent,0,269
246,one_percent,1,89
246,one_percent,2,12
246,one_percent,3,16
246,one_percent,4,101
246,one_percent,5,38
246,five_percent,0,282
246,five_percent,1,84
246,five_percent,2,10
246,five_percent,3,17
246,five_percent,4,103
246,five_percent,5,29
2558,original,0,233
2558,original,1,50
2558,original,2,62
2558,original,3,9
2558,original,4,97
2558,original,5,74
2558,typical_business,0,233
2558,typical_business,1,50
2558,typical_business,2,62
2558,typical_business,3,9
2558,typical_business,4,98
2558,typical_business,5,73
2558,one_percent,0,237
2558,one_percent,1,48
2558,one_percent,2,64
2558,one_percent,3,8
2558,one_percent,4,100
2558,one_percent,5,68
2558,five_percent,0,243
2558,five_percent,1,56
2558,five_percent,2,54
2558,five_percent,3,14
2558,five_percent,4,99
2558,five_percent,5,59
3503,original,0,170
3503,original,1,35
3503,original,2,144
3503,original,3,51
3503,original,4,72
3503,original,5,53
3503,typical_business,0,177
3503,typical_business,1,35
3503,typical_business,2,138
3503,typical_business,3,52
3503,typical_business,4,70
3503,typical_business,5,53
3503,one_percent,0,203
3503,one_percent,1,45
3503,one_percent,2,113
3503,one_percent,3,42
3503,one_percent,4,70
3503,one_percent,5,52
3503,five_percent,0,276
3503,five_percent,1,49
3503,five_percent,2,68
3503,five_percent,3,27
3503,five_percent,4,74
3503,five_percent,5,31
5682,original,0,260
5682,original,1,72
5682,original,2,42
5682,original,3,24
5682,original,4,63
5682,original,5,64
5682,typical_business,0,260
5682,typical_business,1,72
5682,typical_business,2,42
5682,typical_business,3,24
5682,typical_business,4,64
5682,typical_business,5,63
5682,one_percent,0,260
5682,one_percent,1,72
5682,one_percent,2,42
5682,one_percent,3,24
5682,one_percent,4,65
5682,one_percent,5,62
5682,five_percent,0,264
5682,five_percent,1,77
5682,five_percent,2,44
5682,five_percent,3,25
5682,five_percent,4,77
5682,five_percent,5,38
3824,original,0,265
3824,original,1,64
3824,original,2,50
3824,original,3,52
3824,original,4,18
3824,original,5,76
3824,typical_business,0,267
3824,typical_business,1,62
3824,typical_business,2,50
3824,typical_business,3,55
3824,typical_business,4,18
3824,typical_business,5,73
3824,one_percent,0,268
3824,one_percent,1,62
3824,one_percent,2,52
3824,one_percent,3,56
3824,one_percent,4,15
3824,one_percent,5,72
3824,five_percent,0,271
3824,five_percent,1,74
3824,five_percent,2,52
3824,five_percent,3,54
3824,five_percent,4,17
3824,five_percent,5,57
5883,original,0,258
5883,original,1,97
5883,original,2,40
5883,original,3,3
5883,original,4,74
5883,original,5,53
5883,typical_business,0,258
5883,typical_business,1,98
5883,typical_business,2,40
5883,typical_business,3,2
5883,typical_business,4,74
5883,typical_business,5,53
5883,one_percent,0,258
5883,one_percent,1,99
5883,one_percent,2,41
5883,one_percent,3,4
5883,one_percent,4,73
5883,one_percent,5,50
5883,five_percent,0,262
5883,five_percent,1,111
5883,five_percent,2,42
5883,five_percent,3,0
5883,five_percent,4,76
5883,five_percent,5,34
5196,original,0,290
5196,original,1,78
5196,original,2,24
5196,original,3,12
5196,original,4,65
5196,original,5,56
5196,typical_business,0,291
5196,typical_business,1,78
5196,typical_business,2,25
5196,typical_business,3,10
5196,typical_business,4,67
5196,typical_business,5,54
5196,one_percent,0,294
5196,one_percent,1,80
5196,one_percent,2,24
5196,one_percent,3,9
5196,one_percent,4,65
5196,one_percent,5,53
5196,five_percent,0,302
5196,five_percent,1,101
5196,five_percent,2,13
5196,five_percent,3,4
5196,five_percent,4,77
5196,five_percent,5,28
1530,original,0,245
1530,original,1,48
1530,original,2,48
1530,original,3,71
1530,original,4,68
1530,original,5,45
1530,typical_business,0,245
1530,typical_business,1,49
1530,typical_business,2,48
1530,typical_business,3,70
1530,typical_business,4,68
1530,typical_business,5,45
1530,one_percent,0,248
1530,one_percent,1,51
1530,one_percent,2,47
1530,one_percent,3,66
1530,one_percent,4,73
1530,one_percent,5,40
1530,five_percent,0,264
1530,five_percent,1,58
1530,five_percent,2,35
1530,five_percent,3,59
1530,five_percent,4,76
1530,five_percent,5,33
